1541115971.0, 0.6, 0.93, 0.87, 215.46, 2866.25, 902.29, 96.61, 1058.38, 113.7
1541116031.0, 0.6, 0.93, 0.87, 215.13, 2859.84, 902.36, 94.77, 1052.4, 113.11
1541116091.0, 0.59, 0.93, 0.87, 215.3, 2857.83, 901.59, 95.47, 1053.8, 114.55
0
0
0
1541116212.0, 0.59, 0.93, 0.87, 216.08, 2851.31, 900.82, 99.06, 1053.47, 112.38
1541116272.0, 0.59, 0.94, 0.87, 216.14, 2790.35, 900.58, 99.01, 968.79, 112.53
1541116332.0, 0.59, 0.94, 0.87, 216.44, 2782.39, 900.05, 100.63, 960.01, 112.23
0
0
0
1541116453.0, 0.59, 0.94, 0.87, 216.55, 2785.36, 901.68, 101.08, 962.84, 112.7
1541116513.0, 0.59, 0.94, 0.87, 215.83, 2781.2, 900.54, 97.41, 962.71, 112.69
1541116573.0, 0.59, 0.94, 0.87, 215.82, 2787.74, 901.06, 97.13, 965.32, 113.33
0
0
0
1541116694.0, 0.59, 0.94, 0.87, 215.98, 2783.27, 888.9, 98.3, 962.15, 120.65
1541116754.0, 0.59, 0.94, 0.86, 216.84, 2785.32, 875.4, 102.28, 965.72, 127.05
1541116814.0, 0.59, 0.94, 0.88, 216.71, 2785.25, 935.46, 102.25, 964.46, 104.54
0
0
0
1541116935.0, 0.58, 0.94, 0.87, 216.71, 2779.23, 901.14, 100.59, 956.55, 112.43
1541116995.0, 0.59, 0.94, 0.87, 216.24, 2785.28, 901.49, 98.65, 960.31, 112.87
1541117055.0, 0.59, 0.94, 0.87, 215.65, 2779.57, 901.66, 95.79, 954.51, 112.01
0
0
0
1541117176.0, 0.59, 0.95, 0.87, 215.86, 2601.27, 903.76, 95.51, 782.93, 115.85
1541117236.0, 0.59, 0.95, 0.87, 216.14, 2600.11, 904.09, 97.63, 780.81, 119.73
1541117296.0, 0.59, 0.95, 0.87, 215.99, 2601.93, 902.14, 96.98, 781.7, 118.16
0
0
0
1541117417.0, 0.6, 0.94, 0.87, 215.64, 2736.24, 902.91, 96.55, 972.28, 112.97
1541117477.0, 0.6, 0.95, 0.87, 215.85, 2596.04, 899.48, 96.3, 776.04, 114.19
1541117537.0, 0.6, 0.95, 0.87, 215.29, 2600.5, 900.45, 93.59, 779.23, 114.43
0
0
0
1541117658.0, 0.59, 0.92, 0.87, 215.0, 2732.06, 902.98, 93.3, 1072.52, 112.39
1541117718.0, 0.59, 0.95, 0.87, 215.25, 2640.79, 899.83, 93.12, 826.3, 112.76
1541117778.0, 0.59, 0.95, 0.87, 215.87, 2682.09, 899.39, 96.18, 870.47, 111.5
0
0
0
1541117899.0, 0.59, 0.92, 0.87, 215.69, 2786.58, 900.08, 96.68, 1127.68, 110.2
1541117959.0, 0.59, 0.94, 0.87, 215.74, 2691.89, 899.47, 95.9, 895.1, 111.2
1541118019.0, 0.59, 0.94, 0.87, 215.7, 2668.15, 899.99, 95.34, 870.78, 112.01
0
0
0
1541118140.0, 0.59, 0.92, 0.87, 215.52, 2814.54, 907.42, 95.92, 1162.71, 112.53
1541118200.0, 0.59, 0.94, 0.87, 215.89, 2678.44, 906.42, 96.3, 883.23, 113.76
1541118260.0, 0.59, 0.94, 0.87, 216.66, 2673.53, 905.42, 99.88, 879.62, 113.96
0
0
0
1541118381.0, 0.58, 0.92, 0.87, 216.86, 2754.97, 903.32, 101.17, 1084.47, 112.31
1541118441.0, 0.58, 0.94, 0.87, 216.69, 2834.81, 902.58, 100.66, 999.04, 111.37
1541118501.0, 0.58, 0.94, 0.87, 216.76, 2795.53, 900.65, 100.99, 982.94, 113.39
0
0
0
1541118622.0, 0.59, 0.94, 0.86, 216.11, 2799.07, 881.11, 97.49, 982.26, 126.7
1541118682.0, 0.59, 0.94, 0.86, 216.26, 2796.43, 864.24, 97.81, 980.58, 134.02
1541118742.0, 0.59, 0.94, 0.86, 216.31, 2790.59, 863.75, 98.0, 974.63, 134.5
0
0
0
1541118863.0, 0.59, 0.94, 0.86, 217.34, 2793.38, 865.5, 103.2, 980.67, 136.09
1541118923.0, 0.58, 0.94, 0.87, 217.44, 2795.31, 893.32, 103.9, 980.76, 126.8
1541118983.0, 0.58, 0.94, 0.88, 217.4, 2795.22, 937.01, 103.9, 976.82, 110.63
0
0
0
1541119104.0, 0.58, 0.95, 0.87, 217.34, 2616.75, 902.51, 102.27, 805.36, 119.2
1541119164.0, 0.59, 0.95, 0.87, 216.83, 2617.64, 904.16, 99.51, 803.72, 121.84
1541119224.0, 0.58, 0.95, 0.87, 216.76, 2610.21, 901.73, 98.61, 794.36, 125.42
0
0
0
1541119345.0, 0.58, 0.94, 0.87, 217.19, 2836.03, 902.68, 102.55, 1007.34, 121.39
1541119405.0, 0.58, 0.95, 0.87, 217.56, 2645.52, 901.69, 103.26, 832.91, 122.05
0
0
0
1541119526.0, 0.57, 0.95, 0.87, 217.76, 2611.42, 901.96, 102.49, 798.19, 123.52
1541119586.0, 0.57, 0.95, 0.87, 217.62, 2615.24, 902.74, 101.8, 800.76, 122.21
1541119646.0, 0.57, 0.92, 0.87, 217.22, 2808.55, 905.17, 101.79, 1133.4, 120.13
0
0
0
1541119767.0, 0.57, 0.94, 0.87, 216.71, 2807.99, 905.12, 98.58, 991.16, 121.68
1541119827.0, 0.57, 0.93, 0.87, 216.9, 2870.91, 904.95, 100.0, 1057.68, 122.67
1541119887.0, 0.57, 0.93, 0.87, 217.54, 2890.23, 905.07, 103.07, 1086.96, 122.42
0
0
0
1541120008.0, 0.57, 0.93, 0.87, 217.69, 2884.46, 903.81, 103.18, 1081.95, 120.87
1541120068.0, 0.57, 0.93, 0.87, 217.64, 2870.81, 903.57, 102.69, 1075.14, 120.24
1541120128.0, 0.57, 0.93, 0.87, 217.74, 2879.86, 904.08, 103.27, 1081.86, 120.48
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
